#CODE;ENGLISH;;;;;;;;;x 
opinion_hajj_promised;Promised to go on Hajj.;;;;;;;;;x 
EVTDESC105020;[Root.Liege.GetTitledFirstName]'s choice for the Chief Qadi position is disastrous! The man's judgement is severely distorted and there will be no justice as long as he holds the post!;;;;;;;;;x 
EVTOPTA105020;Even this courtier would be better as Chief Qadi!;;;;;;;;;x 
EVTTOOLTIP105021;[Root.GetTitledFirstName] suggests a more suitable person for the post of Chief Qadi;;;;;;;;;x 
EVTOPTB105020;Why, even I would make a better Chief Qadi!;;;;;;;;;x 
EVTOPTC105020;I know a vassal of [Root.Liege.GetTitledFirstName] who would be better;;;;;;;;;x 
EVTOPTD105020;Quench my anger and do nothing;;;;;;;;;x 
EVTDESC105021;Fuming with anger at what [From.GetTitledFirstName] called 'another disastrous judgement of your Chief Qadi!', [From.GetTitledFirstName] suggested I would choose another person for the very important position as Chief Qadi.;;;;;;;;;x 
EVTOPTA105021;You are right, your courtier would be a better choice;;;;;;;;;x 
EVTTOOLTIP105025;The former Chief Qadi, [This.GetTitledFirstName], is dismissed from the position;;;;;;;;;x 
EVTTOOLTIP105022;The new Chief Qadi is [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB105021;I see no reason to dismiss the current Chief Qadi;;;;;;;;;x 
EVTTOOLTIP105023;is disappointed [Root.GetTitledFirstName] did not follow [This.GetHerHis] recommendation for Chief Qadi;;;;;;;;;x 
EVTOPTC105021;I agree, you would make a better Chief Qadi;;;;;;;;;x 
EVTOPTE105021;This vassal of mine would make a better Chief Qadi;;;;;;;;;x 
EVTDESC105023;The current Chief Qadi is such a disastrous choice, with his arbitrary judgements and insufficient knowledge of the laws, that I had to suggest a new candidate for this position. [From.GetTitledFirstName] would make a much better Chief Qadi and so I told [Root.Liege.GetTitledFirstName] and waited with bated breath as [Root.Liege.GetTitledFirstName] pondered this.;;;;;;;;;x 
EVTOPTA105023;[From.GetTitledFirstName] is the new Chief Qadi! Praise Allah!;;;;;;;;;x 
EVTOPTB105023;I was dismissed and told not to interfere in this matter again;;;;;;;;;x 
EVTDESC105024;I inadvertently insulted the old Chief Qadi when I suggested that I would make better judgements than he and knew the laws much better than him, but I saw no other way to get rid of him. After all, it was [From.GetTitledFirstName] who would judge if I was a better person for the position than the hopefully soon former Chief Qadi.;;;;;;;;;x 
EVTDESC105025;May [FromFrom.GetTitledFirstName] be hit with sixty shoes! That son of a dog coaxed [From.GetTitledFirstName] into revoking my title as Chief Qadi!;;;;;;;;;x 
EVTOPTA105025;May Allah destroy [FromFrom.GetTitledFirstName]'s house!;;;;;;;;;x 
EVTDESC105030;The Qur'an says: 'O you who believe! Intoxicants and games of chance and sacrificing to stones set up and dividing by arrows are only an uncleanness, the Shaitan's work, shun it therefore that you may be successful.' It is said that those who indulge in wine and other intoxicants will be punished by eighty lashes so they may know the wrongness of their path.;;;;;;;;;x 
EVTOPTA105030;Eighty lashes for that drunkard!;;;;;;;;;x 
EVTTOOLTIP105031;is lashed eighty times by Chief Qadi [Root.GetTitledFirstName];;;;;;;;;x 
EVTOPTB105030;Show mercy and the drunkard may repent;;;;;;;;;x 
EVTTOOLTIP105032;The drunkard [This.GetTitledFirstName] is saved from the eighty lashes by [Root.GetTitledFirstName];;;;;;;;;x 
EVTOPTC105030;Do nothing, the drunkard may drink himself to death;;;;;;;;;x 
EVTDESC105031;I stumbled drunkenly into Chief Qadi [From.GetTitledFirstName] who smelled the wine I had drunk on my breath and ordered my arrest. The next day I got my punishment: eighty lashes!;;;;;;;;;x 
EVTOPTA105031;The lashes made me cry out in pain...;;;;;;;;;x 
EVTOPTB105031;I will never drink again, may Allah be my witness!;;;;;;;;;x 
EVTOPTC105031;The wine will take the pain away...;;;;;;;;;x 
EVTOPTD105031;Wine will never again touch my tongue!;;;;;;;;;x 
EVTDESC105032;The wine was aplenty and when I left my company I was more than unsteady on my feet. I must have drunk enough to become unconscious, for when I woke up it was in Chief Qadi [From.GetTitledFirstName]'s room, who told me that if I donated a small sum of money to charity and promised to never drink again [From.GetSheHe] would let me go without punishment.;;;;;;;;;x 
EVTOPTA105032;I promised but all I could think of was a can of wine to cure my headache;;;;;;;;;x 
EVTOPTB105032;May Allah be my witness, I promise to never drink again!;;;;;;;;;x 
EVTDESC89000;You have come to share more things than your husband with one of his other wives. The mutual feelings of love and affection that exist between the two of you is something you have simply never felt with [Root.Spouse.GetFirstName].;;;;;;;;;x 
EVTOPTA89000;I feel alive again!;;;;;;;;;x 
EVTDESC89001;The most disturbing rumor has come to your attention. It seems two of your wives have sinfully engaged in carnal pleasures with each other! The rest of the household must be laughing at you behind your back... something must be done about this shameful crime.;;;;;;;;;x 
EVTOPTA89001;Who am I to stand in the way of love? Just be more discreet.;;;;;;;;;x 
EVTOPTB89001;This disgraceful behavior ends now!;;;;;;;;;x 
EVTOPTC89001;They will pay with their lives...;;;;;;;;;x 
EVTDESC89002;Your two sinful wives, possessed by a depraved and unnatural love for each other, have eloped! Try as they might, your guards can't find them anywhere in your palace and a carriage in the courtyard outside has been reported stolen!;;;;;;;;;x 
EVTOPTA89002;Send out riders! Find them!;;;;;;;;;x 
EVTDESC89003;Leading your scouts forward, you intercept your fleeing wives in their carriage at the edge of a deep ravine. You dismount and approach the carriage, but as you draw near it suddenly takes off towards the ravine. Moments before their horses leap off the edge, you see your wives clasping each other's hands...;;;;;;;;;x 
EVTOPTA89003;NO!!!;;;;;;;;;x 
EVTDESC89005;I should be first amongst the wives of [Root.Spouse.GetFirstName]. That I am not shames us both. For his sake, if not my own, I should act.;;;;;;;;;x 
EVTOPTA89005;Poison [Root.Spouse.Spouse.GetFirstName].;;;;;;;;;x 
EVTOPTB89005;Woo [Root.Spouse.GetFirstName].;;;;;;;;;x 
EVTOPTC89005;No, I must accept my station.;;;;;;;;;x 
EVTDESC89006;The first of your wives has passed away unexpectedly, with your healers claiming nothing could be done. They suspect poison may be the cause. [Root.Spouse.GetFirstName], who is now your new first wife, can barely conceal her elation. As the guards move her belongings into her new quarters, one of them confiscates a suspicious half-empty vial...;;;;;;;;;x 
EVTOPTA89006;[Root.Spouse.GetFirstName], my dear wife. Let us bury the past and look to the future!;;;;;;;;;x 
EVTOPTB89006;Is... is that poison? Guards, move her to the dungeons instead!;;;;;;;;;x 
EVTOPTC89006;Force her to drink the vial's remaining content!;;;;;;;;;x 
EVTDESC89007;It seems one of your husband's lesser wives has tried to poison you in a desperate bid to become his first wife! It was blind luck alone that made you discover this attempt on your life before it was too late.;;;;;;;;;x 
EVTOPTA89007;[Root.Spouse.GetFirstName] must be told of this!;;;;;;;;;x 
EVTDESC89008;[Root.Spouse.GetFirstName], the first of your beloved wives, is very upset. She claims to have caught one of your lesser wives in the act of poisoning her food! Evidence uncovered by your household guards seem to verify this claim.;;;;;;;;;x 
EVTOPTA89008;It pains me, but the punishment for this must be death...;;;;;;;;;x 
EVTOPTB89008;Let her contemplate the error of her ways in the dungeons!;;;;;;;;;x 
EVTOPTC89008;I can't be fighting all your battles for you, [Root.Spouse.GetFirstName]!;;;;;;;;;x 
EVTDESC89009;I can't fight all your battles for you, [Root.Spouse.GetFirstName]! Just tell her not to do it again.;;;;;;;;;x 
EVTOPTA89009;But... but she tried to KILL me!;;;;;;;;;x 
EVTDESC89010;One of your beloved wives covets the position of first wife, and has been trying to woo you into elevating her to that status.;;;;;;;;;x 
EVTOPTA89010;Yes, she would make a good first wife...;;;;;;;;;x 
EVTOPTB89010;No. [Root.Spouse.GetFirstName] is first amongst my wives, now and always.;;;;;;;;;x 
EVTDESC89011;That witch [Root.Spouse.Spouse.GetFirstName] has somehow ensnared [Root.Spouse.GetFirstName] with her black magic. She has manipulated him into granting her your rightful position as the first among his wives!;;;;;;;;;x 
EVTOPTA89011;Quick! Where is the poison?;;;;;;;;;x 
EVTOPTB89011;If that is his wish...;;;;;;;;;x 
EVTDESC89012;Tragic news, Master! Your new first wife has passed away, and your healers all agree that poison was the cause. Your former first wife, overcome with jealousy, has made no attempt to hide her guilt in this crime. What should be done with her?;;;;;;;;;x 
EVTOPTA89012;Release her. She must truly love me!;;;;;;;;;x 
EVTOPTB89012;Send the witch to rot in prison!;;;;;;;;;x 
EVTOPTC89012;As my dear first wife has died, so shall she!;;;;;;;;;x 
EVTDESC20050;Your charity work in [Root.Location.GetName] goes well. The Prophet (may Allah honor him and grant him peace) would approve of your Master's actions. Perhaps you should send word.;;;;;;;;;x 
EVTOPTA20050;Make it so!;;;;;;;;;x 
EVTDESC20051;Your [GetLordSpiritualName] reports from [From.Location.GetName] that his charity work on your behalf is proceeding well. The poor have been fed and your pious standing has improved.;;;;;;;;;x 
EVTOPTA20051;We can still do much good, Insha'Allah.;;;;;;;;;x 
EVTTOOLTIP20051;The [Root.Liege.GetTitle] is informed.;;;;;;;;;x 
EVTNAME20050;Piety Gained;;;;;;;;;x 
EVTDESC39500;The infidel dhimmis in [Root.GetName] are now a minority, and most people have embraced [Root.Holder.Religion.GetName] Islam!;;;;;;;;;x 
EVTOPTA39500;Allah be Praised!;;;;;;;;;x 
EVTDESC39501;The people of [From.GetName] have embraced [From.Holder.Religion.GetName] Islam!;;;;;;;;;x 
EVTOPTA39501;Lost Souls!;;;;;;;;;x 
EVTTOOLTIP7509;Informed you do not agree.;;;;;;;;;x 
EVTOPTA61240;So be it!;;;;;;;;;x 
EVTOPTC100111;There's no way I'll help [From.GetTitledFirstName], I might lose my job!;;;;;;;;;x 
EVTTOOLTIP89010;The [Root.Spouse.GetTitle] is wooed.;;;;;;;;;x 
EVTTOOLTIP89007;Murder attempt discovered!;;;;;;;;;x 
EVTTOOLTIP89003;Your scouts search for your missing wives.;;;;;;;;;x 
EVTDESC105035;There have been rumors circling the court that a vassal of [Root.Liege.GetTitledFirstName] is sleeping with a woman other than his wives. The man cannot be a true Muslim if he has committed zina!;;;;;;;;;x 
EVTOPTA105035;The Chief Qadi would know what to do!;;;;;;;;;x 
EVTTOOLTIP105036;The Chief Qadi [This.GetTitledFirstName] hears about the man having a lover and committing zina;;;;;;;;;x 
EVTOPTB105035;I should confront him myself, make him repent to Allah!;;;;;;;;;x 
EVTTOOLTIP105037;[Root.GetTitledFirstName] confronts [This.GetTitledFirstName] about sinning and committing zina;;;;;;;;;x 
EVTOPTC105035;It is not for me to judge others;;;;;;;;;x 
EVTDESC105036;To accuse someone of committing zina, having sexual intercourse with another man or woman other than your spouse, is something no one should take lightly. [From.GetTitledFirstName] told me of the rumors circling the court of [From.GetHerHis] liege [From.Liege.GetTitledFirstName] about a vassal being more than friendly with a woman...;;;;;;;;;x 
EVTOPTA105036;Confront the accused one;;;;;;;;;x 
EVTTOOLTIP105038;is accused of committing zina and confronted by Chief Qadi [Root.GetTitledFirstName];;;;;;;;;x 
EVTOPTB105036;If you care so much about this, why don't you confront him yourself?;;;;;;;;;x 
EVTTOOLTIP105039;Chief Qadi [Root.GetTitledFirstName] dismisses [This.GetTitledFirstName] accusations;;;;;;;;;x 
EVTOPTC105036;Don't come to me with rumors only!;;;;;;;;;x 
EVTDESC105037;The days with my lover has been the most joyful days of my life but [From.GetTitledFirstName] threatening to bring the whole affair to the Chief Qadi made those few days feel petty and the joy I had felt bedraggled. Committing zina is a sin but I couldn't resist her...;;;;;;;;;x 
EVTOPTA105037;Try to bribe [From.GetTitledFirstName] to keep quiet;;;;;;;;;x 
EVTTOOLTIPA105040;The money from [Root.GetTitledFirstName] quiets [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTB105037;I promise I will never see her again!;;;;;;;;;x 
EVTTOOLTIPB105040;[Root.GetTitledFirstName]'s promise convinces [This.GetTitledFirstName];;;;;;;;;x 
EVTOPTC105037;Our love is sacred, no matter what the Qur'an says!;;;;;;;;;x 
EVTTOOLTIPC105040;might go to the Chief Qadi with the matter;;;;;;;;;x 
EVTDESC105038;Chief Qadi [From.GetTitledFirstName] lectured me on the sin of committing zina, but all I could think of was my dear love, waiting for me in our own little hideout.;;;;;;;;;x 
EVTOPTA105038;You have no witnesses, only rumors and they are false!;;;;;;;;;x 
EVTTOOLTIPA105041;is convinced of [Root.GetTitledFirstName] innocence;;;;;;;;;x 
EVTTOOLTIPB105041;[Root.GetTitledFirstName] denying the rumors being true only strengthens the Chief Qadi [This.GetTitledFirstName] suspicions;;;;;;;;;x 
EVTOPTB105038;Promise to break it up with lover;;;;;;;;;x 
EVTTOOLTIP105042;believes that when [This.GetSheHe] sees that it is true;;;;;;;;;x 
EVTOPTC105038;I don't deny it and I refuse to do anything about it!;;;;;;;;;x 
EVTTOOLTIP105043;will find a proper punishment for [Root.GetTitledFirstName]'s sins;;;;;;;;;x 
EVTDESC105039;The silence following my accusations, that a vassal of [Root.Liege.GetTitledFirstName] was committing zina, was deafening. Chief Qadi [From.GetTitledFirstName] asked me several questions about the accusations, the rumors I've heard and what I thought about the matter, which was rather flattering.;;;;;;;;;x 
EVTOPTA105039;But then [From.GetTitledFirstName] told me [From.GetSheHe] wouldn't do something about it!;;;;;;;;;x 
EVTOPTB105039;I am free to confront the accused, but without [From.GetTitledFirstName]'s assistance!;;;;;;;;;x 
EVTOPTC105039;Chief Qadi [From.GetTitledFirstName] assured me the sinner would be punished;;;;;;;;;x 
EVTDESC105040;I hadn't really expected [From.GetTitledFirstName] to react to my accusations about [From.GetHerHim] committing zina and me threatening to go to the Chief Qadi with the matter in exactly that way...;;;;;;;;;x 
EVTOTPA105040;My greed got the better of me and I promised to say nothing to no one;;;;;;;;;x 
EVTOTPB105040;I will tell Chief Qadi about this!;;;;;;;;;x 
EVTOTPC105040;[From.GetTitledFirstName] ignored my threat! I will tell the Chief Qadi!;;;;;;;;;x 
EVTOTPD105040;The Chief Qadi would not believe me anyway;;;;;;;;;x 
EVTOTPE105040;[From.GetTitledFirstName] promised to never see the woman again, but I will still tell the Chief Qadi;;;;;;;;;x 
EVTOTPF105040;[From.GetTitledFirstName] promise to never see the woman again is enough for me;;;;;;;;;x 
EVTDESC105041;I confronted [From.GetTitledFirstName] with [FromFrom.GetTitledFirstName]'s accusations about [From.GetHerHim] committing zina and the rumors [FromFrom.GetTitledFirstName] based this upon. [From.GetTitledFirstName] denied everything and assured me [From.GetSheHe] is a pious Muslim who would never do anything to affront Allah.;;;;;;;;;x 
EVTOPTA105041;I believe [From.GetTitledFirstName];;;;;;;;;x 
EVTTOOLTIPA105044;[Root.GetTitledFirstName]'s belief that [This.GetTitledFirstName] is innocent gladdens [This.GetHerHis] heart;;;;;;;;;x 
EVTOPTB105041;I doubt [From.GetTitledFirstName] is sincere, but I can't do anything;;;;;;;;;x 
EVTTOOLTIPB105044;Chief Qadi [Root.GetTitledFirstName] doubts [This.GetTitledFirstName] innocence but can do nothing;;;;;;;;;x 
EVTTOOLTIPC105044;The punishment for committing zina is stoning, but the Chief Qadi is satisfied with one hundred lashes;;;;;;;;;x 
EVTTOOLTIPD105044;The merciful Chief Qadi [Root.GetTitledFirstName] decides to trust [This.GetTitledFirstName]'s word;;;;;;;;;x 
EVTTOOLTIPE105044;The Chief Qadi does not know what to do, [This.GetTitledFirstName] escapes punishment;;;;;;;;;x 
EVTOPTC105041;I need no witnesses nor confessions, [From.GetTitledFirstName] will be punished!;;;;;;;;;x 
EVTDESC105042;[FromFrom.GetTitledFirstName]'s accusations of [From.GetTitledFirstName] committing zina is not something to take lightly, so when I confronted [From.GetTitledFirstName] and [From.GetSheHe] confessed and confessed four times, then promised to never see [From.GetHerHis] lover ever again I stood at a loss. Should I punish [From.GetTitledFirstName] for committing zina or should I be merciful if [From.GetSheHe] stood by [From.GetHerHis] word?;;;;;;;;;x 
EVTOPTA105042;I do not believe you but there's nothing I can do;;;;;;;;;x 
EVTOPTB105042;Your words are false, the punishment will be brought upon you;;;;;;;;;x 
EVTOPTC105042;If you break your promise you will be doubly punished. Two hundred lashes!;;;;;;;;;x 
EVTDESC105043;I had thought [From.GetTitledFirstName] would've shown some embarrassment, some remorse for committing zina, a crime declared punishable by stoning or a hundred lashes by the Qur'an and the Prophet himself! Instead, [From.GetTitledFirstName] did not deny anything and told me the love [From.GetSheHe] felt for [From.GetHerHis] lover was sacred!;;;;;;;;;x 
EVTOPTA105043;I... I don't know what to do...;;;;;;;;;x 
EVTOPTB105043;Your punishment will be a hundred lashes!;;;;;;;;;x 
EVTDESC105044;Committing zina is a crime according to the Qur'an and the Prophet, may peace be upon him, and the punishment is stoning or a hundred lashes. Regardless of what I told Chief Qadi [From.GetTitledFirstName], I still felt afraid as [From.GetSheHe] pondered my case.;;;;;;;;;x 
EVTOPTA105044;The hundred lashes only wounded me, not my soul nor my love!;;;;;;;;;x 
EVTOPTB105044;The merciful Chief Qadi [From.GetTitledFirstName] decided to spare me the punishment!;;;;;;;;;x 
EVTOPTC105044;I will never see my lover again, but Chief Qadi [From.GetTitledFirstName] decided not to punish me!;;;;;;;;;x 
EVTOPTD105044;The wounds from the hundred lashes healed more quickly than I could fathom;;;;;;;;;x 
EVTDESC88250;A messenger arrives with an invitation to all the warriors of the land to take part in Furusiyya, a great martial competition held but once per reign to determine who is the greatest.;;;;;;;;;x 
EVTOPTA88250;At last!;;;;;;;;;x 
EVTOPTB88250;Pah. For children playing at being men.;;;;;;;;;x 
EVTDESC88251;The Furusiyya begins and the coming two months shall separate those gifted with the skills of a warrior from those who would only pretend at such.;;;;;;;;;x 
EVTOPTA88251;A time for heroic deeds.;;;;;;;;;x 
EVTOPTB88251;Alas, the ongoing war demands my attention.;;;;;;;;;x 
EVTDESC88252;The Furusiyya has come to an end and the stories of its great heroes and their unfortunate victims are already spreading throughout the land.;;;;;;;;;x 
EVTOPTA88252;An event to remember.;;;;;;;;;x 
EVTDESC88253;The Furusiyya has ended, and though I was bested by some participants, I also saw victory more than once. The promise I show as a warrior cannot be denied.;;;;;;;;;x 
EVTOPTA88253;I will improve.;;;;;;;;;x 
EVTDESC88254;The Furusiyya has ended and my martial prowess is no longer considered idle boasting - it is proven fact. Though there were a handful of warriors gifted with skills superior to my own, the glory I won is enough to make me a hero in the eyes of the people.;;;;;;;;;x 
EVTOPTA88254;My enemies will fear me!;;;;;;;;;x 
EVTDESC88255;The Furusiyya has reached its end and not a moment too soon. My performance left much to be desired, and I would have suffered worse if some of my opponents had not pitied me.;;;;;;;;;x 
EVTOPTA88255;I did my best...;;;;;;;;;x 
EVTDESC88256;The Furusiyya has ended and though I did make a name for myself, it was not the one I had hoped for. I lost to every challenger, and when I pushed through the crowds and fled in panic in the last wrestling duel, I could hear laughter behind me...;;;;;;;;;x 
EVTOPTA88256;The shame of it all!;;;;;;;;;x 
EVTDESC88257;The end of the Furusiyya has come, and I have learned much from the skilled warriors who attended. Both my swordsmanship and archery have improved.;;;;;;;;;x 
EVTOPTA88257;I am better for it.;;;;;;;;;x 
EVTDESC88258;The Furusiyya has reached its end, and the combat techniques I had practised did not work well against real, thinking opponents. I am not quite the fighter I thought I was...;;;;;;;;;x 
EVTOPTA88258;Perhaps if I improved my footwork...;;;;;;;;;x 
EVTDESC88259;As my opponent skillfully plunged his blade into my belly and I fell on my back, I reflected briefly on the unfairness of the universe. Then I focused on my fading heartbeat as the blue sky above turned darker and darker...;;;;;;;;;x 
EVTOPTA88259;Why me?;;;;;;;;;x 
EVTDESC88260;My horse bucked wildly to the side as my opponent rushed past on his camel, and I was thrown to the ground. When my senses returned, I noticed my arm was bent at a strange angle...;;;;;;;;;x 
EVTOPTA88260;A pox on that camel jockey!;;;;;;;;;x 
EVTDESC88261;I was facing an opponent in a game of chess, and while pondering my opening moves, the game next to ours turned violent. One of the players hurled the board aside to pull out his scimitar, sending chess pieces flying everywhere. One of White's Bishops struck me in the eye.;;;;;;;;;x 
EVTOPTA88261;By the Prophet, that is an illegal move!;;;;;;;;;x 
EVTDESC88262;To my great shame, the challenge of keeping my bowels in check during the martial competition proved too much for me. I fled home to escape the taunts of my former comrades and for a change of underwear.;;;;;;;;;x 
EVTOPTA88262;I should have stayed in bed this morning.;;;;;;;;;x 
EVTDESC88263;Suddenly, in the middle of a frenzied melee, the crowds part to reveal a giant swordsman grinning at you. After he shows off some fancy moves with his sword, the crowds turn expectantly to you. You fling a dagger into the thug's throat and he drops dead to the wild cheers of those nearby.;;;;;;;;;x 
EVTOPTA88263;Who is next?;;;;;;;;;x 
EVTDESC88264;There were many who doubted my fighting ability, but when we rode our horses into mock battle only to be ambushed by our opponents, I was the one who led us to victory against all odds.;;;;;;;;;x 
EVTOPTA88264;I am tougher than I look.;;;;;;;;;x 
EVTDESC88265;As we rode our horses into battle in yet another test of skill, I devised a clever ambush against our opponents. We prevailed despite being outnumbered.;;;;;;;;;x 
EVTOPTA88265;Many victories will follow, Insha'Allah.;;;;;;;;;x 
EVTDESC88266;Many believe that chess is the ultimate test of strategy, and if this is true, your brilliance as a general is undeniable. All who have mustered the courage to challenge you in this game have met with defeat.;;;;;;;;;x 
EVTOPTA88266;Checkmate.;;;;;;;;;x 
EVTDESC88267;You are renowned for your skills in strategy and planning, but several defeats in mock battles due to embarrassing mistakes on your part have put this reputation into question.;;;;;;;;;x 
EVTOPTA88267;I should have seen through that feint...;;;;;;;;;x 
EVTDESC88268;No matter how hard you try, you cannot wrap your head around this stupid game called chess. Your opponents always seem to be several moves ahead of you.;;;;;;;;;x 
EVTOPTA88268;It is a game for children and weaklings!;;;;;;;;;x 
EVTDESC88269;After repeatedly falling off my horse during a competitive event, many have questioned my abilities as a warrior.;;;;;;;;;x 
EVTOPTA88269;Curse this saddle!;;;;;;;;;x 
EVTDESC88270;I have emerged from the Furusiyya as the finest warrior of the land. I have bested all challengers, and my skills at archery and horsemanship have proved second to none.;;;;;;;;;x 
EVTOPTA88270;A momentous day.;;;;;;;;;x 
EVTDESC88271;I have been declared the second champion of the Furusiyya. Few are those who can match my martial prowess.;;;;;;;;;x 
EVTOPTA88271;May my enemies quake in fear!;;;;;;;;;x 
EVTDESC88272;I have been named third champion of the Furusiyya. My efforts in these competitions have proved that I belong in a small circle of elite warriors.;;;;;;;;;x 
EVTOPTA88272;I have fought with honor.;;;;;;;;;x 
EVTDESC88273;Though I did not participate myself, I felt particularly drawn to the wrestling challenges of the Furusiyya...;;;;;;;;;x 
EVTOPTA88273;Such fine, strong men...;;;;;;;;;x 
EVTDESC88274;While others busied themselves with martial exploits during the Furusiyya, I found the time to embark on different challenges in the many tents that have cropped up just outside the tournament grounds. Like the other fighters, however, I too suffer from battle sores...;;;;;;;;;x 
EVTOPTA88274;A red badge of courage.;;;;;;;;;x 
EVTDESC88275;My shortcomings in the Furusiyya competitions do not seem quite as significant after helping myself to a healthy serving of wine. Though it is haram, forbidden, surely a few more drops won't hurt...;;;;;;;;;x 
EVTOPTA88275;*hic*;;;;;;;;;x 
EVTDESC88276;A fighter had the nerve to insult me in front of several of the other attending warriors. The look on his face when I challenged him to a duel revealed him for the coward he was, but honor left him no choice but to accept. I showed no mercy when I cut him down in single combat.;;;;;;;;;x 
EVTOPTA88276;All arguments should be settled thus.;;;;;;;;;x 
EVTDESC88277;As I waited my turn in the archery contest, I came across two bedouins, fierce warriors both, who were plotting to get back at a young noble who had dismissed them as desert rabble. I watched as they carefully cut the girth of the noble's saddle just enough to ensure it would snap during the upcoming riding challenge.;;;;;;;;;x 
EVTOPTA88277;Clever.;;;;;;;;;x 
EVTDESC88278;As I waited my turn in the archery contest, I came across two bedouins, fierce warriors both, who were plotting to get back at a young noble who had dismissed them as desert rabble. I told them to face the man directly instead of scheming behind his back like bitter old women!;;;;;;;;;x 
EVTOPTA88278;No more of this cowardly intrigue!;;;;;;;;;x 
EVTDESC88279;Learned men from all around the land have come to the Furusiyya to observe the spectacle and share insights and wisdom with each other. Between bouts in the wrestling arena, I spent some time listening to their discussions and learned much about how best to rule the land.;;;;;;;;;x 
EVTOPTA88279;I will use this knowledge.;;;;;;;;;x 
EVTDESC88280;Learned men from all around the land have come to the Furusiyya to observe the spectacle and share insights and wisdom with each other. I joined one of their debates and offered my own opinions on how to govern, only to have them laugh in my face!;;;;;;;;;x 
EVTOPTA88280;Old fools. What do they know?;;;;;;;;;x 
EVTDESC88281;Two men assigned to my cavalry wing for the upcoming mock battle were constantly at each other's throats. It was clear they would sooner fight each other than our opponents, so for the sake of our team I decided to mediate in their conflict.;;;;;;;;;x 
EVTOPTA88281;They agreed to set aside their differences.;;;;;;;;;x 
EVTDESC88282;Two men assigned to my cavalry wing for the upcoming mock battle were constantly at each other's throats. It was clear they would sooner fight each other than our opponents, so I called them out like the bickering women they were and demanded they settle their differences in a duel.;;;;;;;;;x 
EVTOPTA88282;Sadly both were badly wounded and our wing suffered as a result...;;;;;;;;;x 
EVTDESC88283;Riders have been sent to all the corners of the land, spreading word that the great martial competition of Furusiyya will soon be held.;;;;;;;;;x 
EVTOPTA88283;Excellent!;;;;;;;;;x 
EVTDESC88284;[From.GetTitledName] has been named first champion of my great Furusiyya.;;;;;;;;;x 
EVTOPTA88284;[From.GetTitledName] is indeed a mighty warrior.;;;;;;;;;x 
EVTDESC88285;[From.GetTitledName] has performed well enough to be named second champion of my great Furusiyya.;;;;;;;;;x 
EVTOPTA88285;Let no one deny [From.GetHerHis] skill.;;;;;;;;;x 
EVTDESC88286;The third champion of my Furusiyya is none other than [From.GetTitledName].;;;;;;;;;x 
EVTOPTA88286;Well fought!;;;;;;;;;x 
EVTDESC88287;The great Furusiyya competition of [From.GetTitledName] has sadly been cancelled due to war.;;;;;;;;;x 
EVTOPTA88287;Then my skill at fighting may still see use.;;;;;;;;;x 
EVTDESC88288;Master, your honored guest, [From.GetTitledName], has sadly perished during the events of the Furusiyya.;;;;;;;;;x 
EVTOPTA88288;May [From.GetSheHe] find peace in the life hereafter.;;;;;;;;;x 
EVTOPTB88288;Tell me of the heroes, not the failures!;;;;;;;;;x 
EVTDESC88289;Master, your honored guest, [From.GetTitledName], has sadly been maimed during the events of the Furusiyya.;;;;;;;;;x 
EVTOPTA88289;May [From.GetSheHe] recover swiftly, Insha'Allah.;;;;;;;;;x 
EVTOPTB88289;Tell me of the heroes, not the failures!;;;;;;;;;x 
EVTDESC88290;Master, your honored guest, [From.GetTitledName], has sadly suffered serious wounds during the events of the Furusiyya.;;;;;;;;;x 
EVTOPTA88290;May [From.GetSheHe] recover swiftly, Insha'Allah.;;;;;;;;;x 
EVTOPTB88290;Tell me of the heroes, not the failures!;;;;;;;;;x 
EVTDESC88291;As death closes in on me and I prepare for the life hereafter, I spare a thought for the great Furusiyya I had planned. Sadly the competition will end upon my passing, and the fighters will have to find some other way to prove their worth.;;;;;;;;;x 
EVTOPTA88291;May those I ruled remember me for my wisdom, Insha'Allah.;;;;;;;;;x 
EVTDESC88292;Peace be upon you, [Root.GetTitledFirstName]. Due to the sudden and unexpected passing of [From.GetTitledFirstName], the Furusiyya has sadly been cancelled.\n\nSigned, \n[Root.Liege.GetTitledFirstName];;;;;;;;;x 
EVTOPTA88292;But I was going to prove myself as a fighter!;;;;;;;;;x 
hold_a_furusiyya;Hold a Furusiyya Tournament;;;;;;;;;x 
hold_a_furusiyya_desc;We shall hold a Furusiyya martial competition to determine once and for all who the best fighters of the land are.;;;;;;;;;x 
EVTDESC88500;The holy month of Ramadan is upon us, and all faithful Muslims, save the infirm and those on a journey, must observe the fast during daylight hours.;;;;;;;;;x 
EVTOPTA88500;Let the fast commence!;;;;;;;;;x 
EVTDESC88501;Ramadan is a blessed time for charity and kindness, and in that spirit you could release the prisoners languishing in your dungeons...;;;;;;;;;x 
EVTOPTA88501;Yes, set them free.;;;;;;;;;x 
EVTOPTB88501;No, they are where they belong.;;;;;;;;;x 
EVTDESC88502;The Prophet, may Allah honor him and grant him peace, teaches the importance of charity and good deeds, especially during the holy month of Ramadan. There are many poor in [Root.Location.GetName] who could be helped if you but parted with some of your treasury.;;;;;;;;;x 
