###ÄNSI
PROV747;Doris;;;x
PROV1332;Badi;;;;;;;x
PROV2086;Medri Bahri;;;;x
PROV2087;Marya;;;;x
PROV2088;Ka'bir;;;;x
PROV2089;Wolqayt;;;;x
b_nkoranza;Nkoranza;;;;;x
b_amantin;Amantin;;;;;x

c_gyaaman;Gyaaman;;;;;x

b_amanvi;Amanvi;;;;;x
b_bassampunu;Bassampunu;;;;;x
b_tanda;Tanda;;;;;x
b_tankesse;Tankesse;;;;;x
b_banhui;Banhui;;;;;x
b_niando;Niando;;;;;x
b_bonduku;Bunduku;;;;;x


k_hausa;Hausa;;;;;x

d_kano;Kano;;;;;x

c_kano;Kano;;;;;x

b_kano;Kano;;;;;x
b_kazaure;Kazaure;;;;;x
b_dala;;Dala;;;;;x
b_gaya2;Gaya;;;;;x
b_tadwea;Tadwea;;;;;x
b_kumbotso;Kumbotso;;;;;x
b_bagwai;Bagwai;;;;;x

c_rano;Rano;;;;;x

b_rano;Rano;;;;;x
b_jos;Jos;;;;;x
b_rurum;Rurum;;;;;x
b_zongo;Zongo;;;;;x
b_sitti;Sitti;;;;;x
b_garko;Garko;;;;;x
b_birnin_bako;Birnin Bako;;;;;x

c_birama;Birama;;;;;x

b_birama;Birama;;;;;x
b_gumel;Gumel;;;;;x
b_katagum;Katagum;;;;;x
b_matsena;Matsena;;;;;x
b_karama;Karama;;;;;x
b_ringim;Ringim;;;;;x
b_auyo;Auyo;;;;;x


d_katsina;Katsina;;;;;x

c_katsina;Katsina;;;;;x

b_tsohon_birni;Tsohon Birni;;;;;x
b_katsina;Katsina;;;;;x
b_maradi;Maradi;;;;;x
b_sokoto;Sokoto;;;;;x
b_matazu;Matazu;;;;;x
b_malumfashi;Malumfashi;;;;;x
b_dutsin_ma;Dutsin Ma;;;;;x

c_gobiras;Gobiras;;;;;x

b_gobiras;Gobiras;;;;;x
b_gwaran_rama;Gwarana Rama;;;;;x
b_bouza;Bouza;;;;;x
b_tahoua;Tahoua;;;;;x
b_birnin_konni;Birin Konni;;;;;x
b_sanam;Sanam;;;;;x
b_takanamat;Takanamat;;;;;x

c_daura;Daura;;;;;x

b_daura;Daura;;;;;x
b_cibiri;Cibiri;;;;;x
b_maradip;Maradip;;;;;x
b_mayahi;Mayahi
b_djali;Djali;;;;;x
b_kornaka;Kornaka;;;;;x


d_zazzau;Zazzau;;;;;x

c_zazzau;Zazzau;;;;;x


b_zazzau;Zazzau;;;;;x
b_zaria;Zaria;;;;;x
b_kaduna;Kaduna;;;;;x
b_kauru;Kauru;;;;;x
b_bukuru;Bukuru;;;;;x
b_sarkin_pawa;Sarkin Pawa;;;;;x
b_kachia;Kachia;;;;;x

c_zamfara;Zamfara;;;;;x


b_zamfara;Zamfara;;;;;x
b_dutsi;Dutsi;;;;;x
b_birnin_zamfara;Birnin Zamfara;;;;;x
b_gwandu;Gwandu;;;;;x
b_gusau;Gusau;;;;;x
b_talata_mafara;Talata Mafara;;;;;x
b_kaura_namoda;Kaura Namoda;;;;;x

c_yawuri;Yawuri;;;;;x


b_yawuri;Yawuri;;;;;x
b_gwari;Gwari;;;;;x
b_jaufi;Jaufi;;;;;x
b_birnin_yawuri;Birini Yawuri;;;;;x
b_kimu;Kimu;;;;;x
b_yelwa;Yelwa;;;;;x
b_gulbin_boka;Gulbin Boka;;;;;x

c_kebi;Kebi;;;;;x

b_argungu;Argungu;;;;;x
b_surame;Surame;;;;;x
b_kebi;Kebi;;;;;x
b_sokoto;Sokoto;;;;;x
b_shagari;Shagari;;;;;x
b_gwadabawa;Gwadabawa;;;;;x
b_dogondutchi;Dogondutchi;;;;;x

c_agaei;Agaei;;;;;x


b_agaei;Agaei;;;;;x
b_lapai;Lapai;;;;;x
b_abudza;Abudza;;;;;x
b_bida;Bida;;;;;x
b_mokwa;Mokwa;;;;;x
b_zugurma;Zugurma;;;;;x
b_minna;Minna;;;;;x


d_kwara;Kwara;;;;;x

c_ile_ife;Ile-Ife;;;;;x


b_ile_ife;Ile-Ife;;;;;x
b_ajaka;Ajaka;;;;;x
b_ilorina;Ilorina;;;;;x
b_lafiagi;Lafiagi;;;;;x
b_katunga;Katunga;;;;;x
b_oke_oyi;Oke Oyi;;;;;x
b_ijara_isin;Ijara Isin;;;;;x

c_borgu;Borgu;;;;;x


b_nikki;Nikki;;;;;x
b_baikinrua;Baikinrua;;;;;x
b_rugga;Rugga;;;;;x
b_tungar_noma;Tungar Noma;;;;;x
b_konkwesso;Konkwesso;;;;;x
b_banisare;Banisare;;;;;x
b_agwarra;Agwarra;;;;;x

c_kajami;Kajami;;;;;x


b_kajami;Kajami;;;;;x
b_busa;Busa;;;;;x
b_bajibo;Bajibo;;;;;x
b_jekana;Jekana;;;;;x
b_beru;Beru;;;;;x
b_gwasero;Gwasero;;;;;x
b_yashikera;Yashikera;;;;;x

d_fombina;Fombina;;;;;x

c_bauchi;Bauchi;;;;;x


b_bauchi;Baci;;;;;x
b_gombe;Gombe;;;;;x
b_misau;Misau;;;;;x
b_tafawa_balewa;Tafawa Balewa;;;;;x
b_lere;Lere;;;;;x
b_deben_kasa;Deben Kasa;;;;;x
b_jos;Jos;;;;;x

c_marghi;Marghi;;;;;x

b_marghi;Marghi;;;;;x
b_biu;Biu;;;;;x
b_maiduguri;Maiduguri;;;;;x
b_chemi_moda;Chemi Moda;;;;;x
b_hiji;Hiji;;;;;x
b_kwaya;Kwaya;;;;;x
b_hong;Hong;;;;;x

c_pindinga;Pindinga;;;;;x

b_lafia;Lafia;;;;;x
b_kefi;Kefi;;;;;x
b_nasarawa;Nasarawa;;;;;x
b_dzukun;Dzukun;;;;;x
b_wukari;Wukari;;;;;x
b_makurdi;Makurdi;;;;;x
b_igbor;Igbor;;;;;x

c_jola;Jola;;;;;x


b_jola;Jola;;;;;x
b_kwararafa;Kwararafa;;;;;x
b_deba;Deba;;;;;x
b_kumo;Kumo;;;;;x
b_jalingo;Jalingo;;;;;x
b_mutum_mbiyu;Mutum Mbiyu;;;;;x
b_namnai;Namnai;;;;;x

c_lasta;Lasta;;;;;;x
b_lasta1;Lasta;;;;;;x
b_lasta2;Lasta;;;;;;x
b_lasta3;Lasta;;;;;;x
b_lasta4;Lasta;;;;;;x
b_lasta5;Lasta;;;;;;x
b_lasta6;Lasta;;;;;;x
b_lasta7;Lasta;;;;;;x

c_adulis;Adulis;;;;;;x
b_adulis1;Adulis;;;;;;x
b_adulis2;Adulis;;;;;;x
b_adulis3;Adulis;;;;;;x
b_adulis4;Adulis;;;;;;x
b_adulis5;Adulis;;;;;;x
b_adulis6;Adulis;;;;;;x
b_adulis7;Adulis;;;;;;x

c_saho;Saho;;;;;x
b_saho1;Saho;;;;x
b_saho2;Saho;;;;x
b_saho3;Saho;;;;x
b_saho4;Saho;;;;x
b_saho5;Saho;;;;x
b_saho6;Saho;;;;x
b_saho7;Saho;;;;x

c_menderfa;Menderfa;;;;;;x
b_menderfa1;Menderfa;;;;;;x
b_menderfa2;Menderfa;;;;;;x
b_menderfa3;Menderfa;;;;;;x
b_menderfa4;Menderfa;;;;;;x
b_menderfa5;Menderfa;;;;;;x
b_menderfa6;Menderfa;;;;;;x
b_menderfa7;Menderfa;;;;;;x

c_dembiya;Dembiya;;;;;;x

b_dembiya1;Dembiya;;;;;;x
b_dembiya2;Dembiya;;;;;;x
b_dembiya3;Dembiya;;;;;;x
b_dembiya4;Dembiya;;;;;;x
b_dembiya5;Dembiya;;;;;;x
b_dembiya6;Dembiya;;;;;;x
b_dembiya7;Dembiya;;;;;;x


c_metekel;Metekel;;;;;;x

b_metekel1;Metekel;;;;;;x
b_metekel2;Metekel;;;;;;x
b_metekel3;Metekel;;;;;;x
b_metekel4;Metekel;;;;;;x
b_metekel5;Metekel;;;;;;x
b_metekel6;Metekel;;;;;;x
b_metekel7;Metekel;;;;;;x


c_agew;Agew;;;;;;x

b_agew1;Agew;;;;;;x
b_agew2;Agew;;;;;;x
b_agew3;Agew;;;;;;x
b_agew4;Agew;;;;;;x
b_agew5;Agew;;;;;;x
b_agew6;Agew;;;;;;x
b_agew7;Agew;;;;;;x

c_dembecha;Dembecha;;;;;;x

b_dembecha1;Dembecha;;;;;;x
b_dembecha2;Dembecha;;;;;;x
b_dembecha3;Dembecha;;;;;;x
b_dembecha4;Dembecha;;;;;;x
b_dembecha5;Dembecha;;;;;;x
b_dembecha6;Dembecha;;;;;;x
b_dembecha7;Dembecha;;;;;;x

c_groningen;Groningen;;;;;;;x

b_groningen1;Groningen;;;;;;;x
b_groningen2;Groningen;;;;;;;x
b_groningen3;Groningen;;;;;;;x
b_groningen4;Groningen;;;;;;;x
b_groningen5;Groningen;;;;;;;x
b_groningen6;Groningen;;;;;;;x
b_groningen7;Groningen;;;;;;;x

c_guelders;Guelders;;;;;;x
b_guelders1;Guelders;;;;;;x
b_guelders2;Guelders;;;;;;x
b_guelders3;Guelders;;;;;;x
b_guelders4;Guelders;;;;;;x
b_guelders5;Guelders;;;;;;x
b_guelders6;Guelders;;;;;;x
b_guelders7;Guelders;;;;;;x

c_zutphen;Zutphen;;;;;;x

b_zutphen1;Zutphen;;;;;;x
b_zutphen2;Zutphen;;;;;;x
b_zutphen3;Zutphen;;;;;;x
b_zutphen4;Zutphen;;;;;;x
b_zutphen5;Zutphen;;;;;;x
b_zutphen6;Zutphen;;;;;;x
b_zutphen7;Zutphen;;;;;;x

c_limburg1;Limburg;;;;;x

b_limburg1;Limburg;;;;;x
b_limburg2;Limburg;;;;;x
b_limburg3;Limburg;;;;;x
b_limburg4;Limburg;;;;;x
b_limburg5;Limburg;;;;;x
b_limburg6;Limburg;;;;;x
b_limburg7;Limburg;;;;;x

c_roermond;Roermond;;;;;;x

b_roermond1;Roermond;;;;;;x
b_roermond2;Roermond;;;;;;x
b_roermond3;Roermond;;;;;;x
b_roermond4;Roermond;;;;;;x
b_roermond5;Roermond;;;;;;x
b_roermond6;Roermond;;;;;;x
b_roermond7;Roermond;;;;;;x
			
c_antwerpen;Antwerpen;;;;;;;x

b_antwerpen1;Antwerpen;;;;;;;x
b_antwerpen2;Antwerpen;;;;;;;x
b_antwerpen3;Antwerpen;;;;;;;x
b_antwerpen4;Antwerpen;;;;;;;x
b_antwerpen5;Antwerpen;;;;;;;x
b_antwerpen6;Antwerpen;;;;;;;x
b_antwerpen7;Antwerpen;;;;;;;x
			
c_ostmark;Ostmark;;;;;;x
b_ostmark1;Ostmark;;;;;;x
b_ostmark2;Ostmark;;;;;;x
b_ostmark3;Ostmark;;;;;;x
b_ostmark4;Ostmark;;;;;;x
b_ostmark5;Ostmark;;;;;;x
b_ostmark6;Ostmark;;;;;;x
b_ostmark7;Ostmark;;;;;;x
			
c_straubing;Straubing;;;;;;x

b_straubing1;Straubing;;;;;;x
b_straubing2;Straubing;;;;;;x
b_straubing3;Straubing;;;;;;x
b_straubing4;Straubing;;;;;;x
b_straubing5;Straubing;;;;;;x
b_straubing6;Straubing;;;;;;x
b_straubing7;Straubing;;;;;;x

c_freistadt;Friestadt;;;;;;x

b_friestadt1;Friestadt;;;;;;x
b_friestadt2;Friestadt;;;;;;x
b_friestadt3;Friestadt;;;;;;x
b_friestadt4;Friestadt;;;;;;x
b_friestadt5;Friestadt;;;;;;x
b_friestadt6;Friestadt;;;;;;x
b_friestadt7;Friestadt;;;;;;x

c_hirschberg;Hirschberg;;;;;;x

b_hirschberg1;Hirschberg;;;;;;x
b_hirschberg2;Hirschberg;;;;;;x
b_hirschberg3;Hirschberg;;;;;;x
b_hirschberg4;Hirschberg;;;;;;x
b_hirschberg5;Hirschberg;;;;;;x
b_hirschberg6;Hirschberg;;;;;;x
b_hirschberg7;Hirschberg;;;;;;x

c_horn;Horn;;;;;x

b_horn1;Horn;;;;;x
b_horn2;Horn;;;;;x
b_horn3;Horn;;;;;x
b_horn4;Horn;;;;;x
b_horn5;Horn;;;;;x
b_horn6;Horn;;;;;x
b_horn7;Horn;;;;;x


c_mistlebach;Mistlebach;;;;;x

b_mistlebach1;Mistlebach;;;;;x
b_mistlebach2;Mistlebach;;;;;x
b_mistlebach3;Mistlebach;;;;;x
b_mistlebach4;Mistlebach;;;;;x
b_mistlebach5;Mistlebach;;;;;x
b_mistlebach6;Mistlebach;;;;;x
b_mistlebach7;Mistlebach;;;;;x

c_opatija;Opatija;;;;;x

b_opatija1;Opatija;;;;;x
b_opatija2;Opatija;;;;;x
b_opatija3;Opatija;;;;;x
b_opatija4;Opatija;;;;;x
b_opatija5;Opatija;;;;;x
b_opatija6;Opatija;;;;;x
b_opatija7;Opatija;;;;;x

c_tecklenburg;Tecklenburg;;;;;x

b_tecklenburg1;Tecklenburg;;;;;x
b_tecklenburg2;Tecklenburg;;;;;x
b_tecklenburg3;Tecklenburg;;;;;x
b_tecklenburg4;Tecklenburg;;;;;x
b_tecklenburg5;Tecklenburg;;;;;x
b_tecklenburg6;Tecklenburg;;;;;x
b_tecklenburg7;Tecklenburg;;;;;x


c_paderborn;Paderborn;;;;;x

b_paderborn1;Paderborn;;;;;x
b_paderborn2;Paderborn;;;;;x
b_paderborn3;Paderborn;;;;;x
b_paderborn4;Paderborn;;;;;x
b_paderborn5;Paderborn;;;;;x
b_paderborn6;Paderborn;;;;;x
b_paderborn7;Paderborn;;;;;x


c_hessen;Hessen;;;;;x

b_hessen1;Hessen;;;;;x
b_hessen2;Hessen;;;;;x
b_hessen3;Hessen;;;;;x
b_hessen4;Hessen;;;;;x
b_hessen5;Hessen;;;;;x
b_hessen6;Hessen;;;;;x
b_hessen7;Hessen;;;;;x

c_henneberg;Henneberg;;;;;x

b_henneberg1;Henneberg;;;;;x
b_henneberg2;Henneberg;;;;;x
b_henneberg3;Henneberg;;;;;x
b_henneberg4;Henneberg;;;;;x
b_henneberg5;Henneberg;;;;;x
b_henneberg6;Henneberg;;;;;x
b_henneberg7;Henneberg;;;;;x

c_mark;Mark;;;;;x

b_mark1;Mark;;;;;x
b_mark2;Mark;;;;;x
b_mark3;Mark;;;;;x
b_mark4;Mark;;;;;x
b_mark5;Mark;;;;;x
b_mark6;Mark;;;;;x
b_mark7;Mark;;;;;x


c_wesel;Wesel;;;;;x

b_wesel1;Wesel;;;;;x
b_wesel2;Wesel;;;;;x
b_wesel3;Wesel;;;;;x
b_wesel4;Wesel;;;;;x
b_wesel5;Wesel;;;;;x
b_wesel6;Wesel;;;;;x
b_wesel7;Wesel;;;;;x


c_berg;Berg;;;;;x

b_berg1;Berg;;;;;x
b_berg2;Berg;;;;;x
b_berg3;Berg;;;;;x
b_berg4;Berg;;;;;x
b_berg5;Berg;;;;;x
b_berg6;Berg;;;;;x
b_berg7;Berg;;;;;x

c_lemnos;Lemnos;;;;;x
b_lemnos1;Lemnos;;;;;x
b_lemnos2;Lemnos;;;;;x
b_lemnos3;Lemnos;;;;;x
b_lemnos4;Lemnos;;;;;x
b_lemnos5;Lemnos;;;;;x
b_lemnos6;Lemnos;;;;;x
b_lemnos7;Lemnos;;;;;x

c_chalcedon;Chalcedon;;;;;x
b_chalcedon1;Chalcedon;;;;;x
b_chalcedon2;Chalcedon;;;;;x
b_chalcedon3;Chalcedon;;;;;x
b_chalcedon4;Chalcedon;;;;;x
b_chalcedon5;Chalcedon;;;;;x
b_chalcedon6;Chalcedon;;;;;x
b_chalcedon7;Chalcedon;;;;;x			

c_serres;Serres;;;;;x
				
b_serres1;Serres;;;;;x
b_serres2;Serres;;;;;x
b_serres3;Serres;;;;;x
b_serres4;Serres;;;;;x
b_serres5;Serres;;;;;x
b_serres6;Serres;;;;;x
b_serres7;Serres;;;;;x

c_kavala;Kavala;;;;;x
				
b_kavala1;Kavala;;;;;x
b_kavala2;Kavala;;;;;x
b_kavala3;Kavala;;;;;x
b_kavala4;Kavala;;;;;x
b_kavala5;Kavala;;;;;x
b_kavala6;Kavala;;;;;x
b_kavala7;Kavala;;;;;x

c_arbanon;Arbanon;;;;;;x

b_arbanon1;Arbanon;;;;;x
b_arbanon2;Arbanon;;;;;x
b_arbanon3;Arbanon;;;;;x
b_arbanon4;Arbanon;;;;;x
b_arbanon5;Arbanon;;;;;x
b_arbanon6;Arbanon;;;;;x
b_arbanon7;Arbanon;;;;;x

c_skopje;Skopje;;;;;x

b_skopje1;Skopje;;;;;x
b_skopje2;Skopje;;;;;x
b_skopje3;Skopje;;;;;x
b_skopje4;Skopje;;;;;x
b_skopje5;Skopje;;;;;x
b_skopje6;Skopje;;;;;x
b_skopje7;Skopje;;;;;x

c_corfu;Corfu;;;;;x

b_corfu1;Corfu;;;;;x
b_corfu2;Corfu;;;;;x
b_corfu3;Corfu;;;;;x
b_corfu4;Corfu;;;;;x
b_corfu5;Corfu;;;;;x
b_corfu6;Corfu;;;;;x
b_corfu7;Corfu;;;;;x

c_arcadia;Arcadia;;;;;x
b_arcadia1;Arcadia;;;;;x
b_arcadia2;Arcadia;;;;;x
b_arcadia3;Arcadia;;;;;x
b_arcadia4;Arcadia;;;;;x
b_arcadia5;Arcadia;;;;;x
b_arcadia6;Arcadia;;;;;x
b_arcadia7;Arcadia;;;;;x

c_lycia;Lycia;;;;;x

b_lycia1;Lycia;;;;;x
b_lycia2;Lycia;;;;;x
b_lycia3;Lycia;;;;;x
b_lycia4;Lycia;;;;;x
b_lycia5;Lycia;;;;;x
b_lycia6;Lycia;;;;;x
b_lycia7;Lycia;;;;;x

c_laranda;Laranda;;;;;x

b_laranda1;Laranda;;;;;x
b_laranda2;Laranda;;;;;x
b_laranda3;Laranda;;;;;x
b_laranda4;Laranda;;;;;x
b_laranda5;Laranda;;;;;x
b_laranda6;Laranda;;;;;x
b_laranda7;Laranda;;;;;x

c_kotyaion;Kotyaion;;;;;x

b_kotyaion1;Kotyaion;;;;;x
b_kotyaion2;Kotyaion;;;;;x
b_kotyaion3;Kotyaion;;;;;x
b_kotyaion4;Kotyaion;;;;;x
b_kotyaion5;Kotyaion;;;;;x
b_kotyaion6;Kotyaion;;;;;x
b_kotyaion7;Kotyaion;;;;;x


c_nysia;Nysia;;;;;x

b_nysia1;Nysia;;;;;x
b_nysia2;Nysia;;;;;x
b_nysia3;Nysia;;;;;x
b_nysia4;Nysia;;;;;x
b_nysia5;Nysia;;;;;x
b_nysia6;Nysia;;;;;x
b_nysia7;Nysia;;;;;x

c_aksaray;Aksaray;;;;;x

b_aksaray1;Aksaray;;;;;x
b_aksaray2;Aksaray;;;;;x
b_aksaray3;Aksaray;;;;;x
b_aksaray4;Aksaray;;;;;x
b_aksaray5;Aksaray;;;;;x
b_aksaray6;Aksaray;;;;;x
b_aksaray7;Aksaray;;;;;x


c_nyssa;Nyssa;;;;;x

b_nyssa1;Nyssa;;;;;x
b_nyssa2;Nyssa;;;;;x
b_nyssa3;Nyssa;;;;;x
b_nyssa4;Nyssa;;;;;x
b_nyssa5;Nyssa;;;;;x
b_nyssa6;Nyssa;;;;;x
b_nyssa7;Nyssa;;;;;x


c_amastris;Amastris;;;;;x

b_amastris1;Amastris;;;;;x
b_amastris2;Amastris;;;;;x
b_amastris3;Amastris;;;;;x
b_amastris4;Amastris;;;;;x
b_amastris5;Amastris;;;;;x
b_amastris6;Amastris;;;;;x
b_amastris7;Amastris;;;;;x


c_tium;Tium;;;;;x

b_tium1;Tium;;;;;x
b_tium2;Tium;;;;;x
b_tium3;Tium;;;;;x
b_tium4;Tium;;;;;x
b_tium5;Tium;;;;;x
b_tium6;Tium;;;;;x
b_tium7;Tium;;;;;x

c_amaseia;Amaseia;;;;;x

b_amaseia1;Amaseia;;;;;x
b_amaseia2;Amaseia;;;;;x
b_amaseia3;Amaseia;;;;;x
b_amaseia4;Amaseia;;;;;x
b_amaseia5;Amaseia;;;;;x
b_amaseia6;Amaseia;;;;;x
b_amaseia7;Amaseia;;;;;x

c_sakarya;Sakarya;;;;;x

b_sakarya1;Sakarya;;;;;x
b_sakarya2;Sakarya;;;;;x
b_sakarya3;Sakarya;;;;;x
b_sakarya4;Sakarya;;;;;x
b_sakarya5;Sakarya;;;;;x
b_sakarya6;Sakarya;;;;;x
b_sakarya7;Sakarya;;;;;x

c_sper;Sper;;;;;x

b_sper1;Sper;;;;;x
b_sper2;Sper;;;;;x
b_sper3;Sper;;;;;x
b_sper4;Sper;;;;;x
b_sper5;Sper;;;;;x
b_sper6;Sper;;;;;x
b_sper7;Sper;;;;;x

c_kerasous;Kerasous;;;;;x

b_kerasous1;Kerasous;;;;;x
b_kerasous2;Kerasous;;;;;x
b_kerasous3;Kerasous;;;;;x
b_kerasous4;Kerasous;;;;;x
b_kerasous5;Kerasous;;;;;x
b_kerasous6;Kerasous;;;;;x
b_kerasous7;Kerasous;;;;;x

c_rstunik;Rstunik;;;;;;x

b_rstunik1;Rstunik;;;;;;x 
b_rstunik2;Rstunik;;;;;;x 
b_rstunik3;Rstunik;;;;;;x 
b_rstunik4;Rstunik;;;;;;x 
b_rstunik5;Rstunik;;;;;;x 
b_rstunik6;Rstunik;;;;;;x 
b_rstunik7;Rstunik;;;;;;x 

c_yerevan;Yerevan;;;;;;x

b_yerevan1;Yerevan;;;;;;x 
b_yerevan2;Yerevan;;;;;;x 
b_yerevan3;Yerevan;;;;;;x 
b_yerevan4;Yerevan;;;;;;x 
b_yerevan5;Yerevan;;;;;;x 
b_yerevan6;Yerevan;;;;;;x 
b_yerevan7;Yerevan;;;;;;x 

c_ayrarat;Ayrarat;;;;;;x

b_ayrarat1;Ayrarat;;;;;;x 
b_ayrarat2;Ayrarat;;;;;;x 
b_ayrarat3;Ayrarat;;;;;;x 
b_ayrarat4;Ayrarat;;;;;;x 
b_ayrarat5;Ayrarat;;;;;;x 
b_ayrarat6;Ayrarat;;;;;;x 
b_ayrarat7;Ayrarat;;;;;;x 


c_manzikert;Manzikert;;;;;;x

b_manzikert1;Manzikert;;;;;;x 
b_manzikert2;Manzikert;;;;;;x 
b_manzikert3;Manzikert;;;;;;x 
b_manzikert4;Manzikert;;;;;;x 
b_manzikert5;Manzikert;;;;;;x 
b_manzikert6;Manzikert;;;;;;x 
b_manzikert7;Manzikert;;;;;;x 

c_ahiat;Ahiat;;;;;;x

b_ahiat1;Ahiat;;;;;;x 
b_ahiat2;Ahiat;;;;;;x 
b_ahiat3;Ahiat;;;;;;x 
b_ahiat4;Ahiat;;;;;;x 
b_ahiat5;Ahiat;;;;;;x 
b_ahiat6;Ahiat;;;;;;x 
b_ahiat7;Ahiat;;;;;;x 

c_harran;Harran;;;;;;x

b_harran1;Harran;;;;;;x 
b_harran2;Harran;;;;;;x 
b_harran3;Harran;;;;;;x  
b_harran4;Harran;;;;;;x 
b_harran5;Harran;;;;;;x  
b_harran6;Harran;;;;;;x 
b_harran7;Harran;;;;;;x 

c_mardin;Mardin;;;;;;x

b_mardin1;Mardin;;;;;;x 
b_mardin2;Mardin;;;;;;x 
b_mardin3;Mardin;;;;;;x  
b_mardin4;Mardin;;;;;;x 
b_mardin5;Mardin;;;;;;x  
b_mardin6;Mardin;;;;;;x 
b_mardin7;Mardin;;;;;;x 

c_hisarya;Hisarya;;;;;;x

b_hisarya1;Hisarya;;;;;;x 
b_hisarya2;Hisarya;;;;;;x 
b_hisarya3;Hisarya;;;;;;x 
b_hisarya4;Hisarya;;;;;;x 
b_hisarya5;Hisarya;;;;;;x 
b_hisarya6;Hisarya;;;;;;x 
b_hisarya7;Hisarya;;;;;;x 

c_novae;Novae;;;;;;x	

b_novae1;Novae;;;;;;x 
b_novae2;Novae;;;;;;x 
b_novae3;Novae;;;;;;x 
b_novae4;Novae;;;;;;x 
b_novae5;Novae;;;;;;x 
b_novae6;Novae;;;;;;x 
b_novae7;Novae;;;;;;x 

c_debeltum;Debeltum;;;;;;x

b_debeltum1;Debeltum;;;;;;x 
b_debeltum2;Debeltum;;;;;;x 
b_debeltum3;Debeltum;;;;;;x 
b_debeltum4;Debeltum;;;;;;x 
b_debeltum5;Debeltum;;;;;;x 
b_debeltum6;Debeltum;;;;;;x 
b_debeltum7;Debeltum;;;;;;x 

c_cernavoda;Tulcea;;;;;;x

b_cernavoda1;Tulcea;;;;;;x 
b_cernavoda2;Tulcea;;;;;;x 
b_cernavoda3;Tulcea;;;;;;x 
b_cernavoda4;Tulcea;;;;;;x 
b_cernavoda5;Tulcea;;;;;;x 
b_cernavoda6;Tulcea;;;;;;x 
b_cernavoda7;Tulcea;;;;;;x 

c_hvosno;Hvosno;;;;;;x

b_hvosno1;Hvosno;;;;;;x 
b_hvosno2;Hvosno;;;;;;x 
b_hvosno3;Hvosno;;;;;;x 
b_hvosno4;Hvosno;;;;;;x 
b_hvosno5;Hvosno;;;;;;x 
b_hvosno6;Hvosno;;;;;;x 
b_hvosno7;Hvosno;;;;;;x 

c_syrmia;Syrmia;;;;;;x 

b_syrmia1;Syrmia;;;;;;x 
b_syrmia2;Syrmia;;;;;;x 
b_syrmia3;Syrmia;;;;;;x 
b_syrmia4;Syrmia;;;;;;x 
b_syrmia5;Syrmia;;;;;;x 
b_syrmia6;Syrmia;;;;;;x 
b_syrmia7;Syrmia;;;;;;x 

c_macva;Macva;;;;;;x

b_macva1;Macva;;;;;;x 
b_macva2;Macva;;;;;;x 
b_macva3;Macva;;;;;;x 
b_macva4;Macva;;;;;;x 
b_macva5;Macva;;;;;;x 
b_macva6;Macva;;;;;;x 
b_macva7;Macva;;;;;;x 

c_ras;Ras;;;;;;x

b_ras1;Ras;;;;;;x 
b_ras2;Ras;;;;;;x 
b_ras3;Ras;;;;;;x 
b_ras4;Ras;;;;;;x 
b_ras5;Ras;;;;;;x 
b_ras6;Ras;;;;;;x 
b_ras7;Ras;;;;;;x 

c_polimlje;Polimlje;;;;;;x

b_polimlje1;Polimlje;;;;;;x 
b_polimlje2;Polimlje;;;;;;x 
b_polimlje3;Polimlje;;;;;;x 
b_polimlje4;Polimlje;;;;;;x 
b_polimlje5;Polimlje;;;;;;x 
b_polimlje6;Polimlje;;;;;;x 
b_polimlje7;Polimlje;;;;;;x 

c_tropore;Tropore;;;;;;x 

b_tropore1;Tropore;;;;;;x 
b_tropore2;Tropore;;;;;;x 
b_tropore3;Tropore;;;;;;x 
b_tropore4;Tropore;;;;;;x 
b_tropore5;Tropore;;;;;;x 
b_tropore6;Tropore;;;;;;x 
b_tropore7;Tropore;;;;;;x 


c_vrhbosna;Vrhbosna;;;;;;x 

b_vrhbosna1;Vrhbosna;;;;;;x 
b_vrhbosna2;Vrhbosna;;;;;;x 
b_vrhbosna3;Vrhbosna;;;;;;x 
b_vrhbosna4;Vrhbosna;;;;;;x 
b_vrhbosna5;Vrhbosna;;;;;;x 
b_vrhbosna6;Vrhbosna;;;;;;x 
b_vrhbosna7;Vrhbosna;;;;;;x 


c_podgorje;Podgorje;;;;;;x 

b_podgorje1;Podgorje;;;;;;x 
b_podgorje2;Podgorje;;;;;;x 
b_podgorje3;Podgorje;;;;;;x 
b_podgorje4;Podgorje;;;;;;x 
b_podgorje5;Podgorje;;;;;;x 
b_podgorje6;Podgorje;;;;;;x 
b_podgorje7;Podgorje;;;;;;x 

c_tuzla;Tuzla;;;;;;x 

b_tuzla1;Tuzla;;;;;;x 
b_tuzla2;Tuzla;;;;;;x 
b_tuzla3;Tuzla;;;;;;x 
b_tuzla4;Tuzla;;;;;;x 
b_tuzla5;Tuzla;;;;;;x 
b_tuzla6;Tuzla;;;;;;x 
b_tuzla7;Tuzla;;;;;;x 

c_vodica;Vodica;;;;;;x

