EVTDESCPA.10000;You are the current ruler of the glorious Roman Empire. May your reign be a prosperous one!;;;;;;;;;x 
yazidi_pilgrimage_desc;Some faithful Yazidis decide to make a great pilgrimage at some point in their lives.  The devout pilgrim is prepared to travel long distances in order to visit the holiest places of the faith.;;;;;;;;;x 
EVTDESCPA.10163;I shall go on a pilgrimage to seek God's grace at one of the holy places of Yazidism.;;;;;;;;;x 
EVTDESCPA.10164;The most important holy site to Yazidis is the tomb of the religion's founder, Sheikh Adi ibn Musafir, which is located at Lalish, north of Mosul. You may face trouble if you come into contact with any of the areas Mulims or Chrisitans, who consider Yazidis to be devil worshippers, but this is a once in a life-time opportunity.;;;;;;;;;x 
EVTNAMEPA.10165;Sheikh's Tomb.;;;;;;;;;x 
EVTDESCPA.10165;After weeks of trekking through the desert sun, you have finally arrived at your destination! The village of Lalish is small, but you can feel the presence of [Root.Religion.GetRandomGodName] all around you. Escorted by your guards, you join the pilgrims waiting to pray at the tomb of Sheikh Adi ibn Musafir. You pray at the tomb once it is your turn, wishing for a long life and many children, and then move on, ready to make the journey home.;;;;;;;;;x 
EVTNAMEPA.10166;Sheikh's Tomb.;;;;;;;;;x 
EVTDESCPA.10166;After weeks of trekking through the desert sun, you finally arrived at your destination. You expected Lalish to be huge, but it is barely even a hamlet, and it feels as if it is devoid of the presence of [Root.Religion.GetRandomGodName]. Escorted by your guards, you join the pilgrims waiting to pray at the tomb of Sheikh Adi ibn Musafir. Discouraged by your trek, you eventually get tired of waiting, and decide to instead make the journey home.;;;;;;;;;x 
EVTDESCPA.10167;You are finally home, happy to have made the journey. It was a long and arduous trek, but you feel the experience has strengthened your faith in [Root.Religion.GetRandomGodName]!;;;;;;;;;x 
EVTDESCPA.10168;You are finally home, angry that you journey went poorly. It was a long and ardours trek, all for nothing, and you feel it has shaken your faith in [Root.Religion.GetRandomGodName].;;;;;;;;;x 
EVTDESCPA.10169;As you make your way towards Lalish, you are suddenly ambushed by a group of bandits! Yours guards draw their sabres, ready to defend you if necessary, but the bandits are numerous. Will you attempt to fight them, or try to flee?;;;;;;;;;x 
EVTTOOLTIPPA_10170;you succeed.;;;;;;;;;x 
EVTTOOLTIPPA_10171;you run away.;;;;;;;;;x 
k_hansa;Hansetic League;;;;;;;;;x 
k_hansa_adj;Hansetic;;;;;;;;;x 
e_france_adj;Francian;;;;;;;;;x 
EVTDESCPA.10170;You order your guards to engage the bandits. The fight is tough, but your men win out in the end. What is left of the bandit force falls back into the desert, their tails tucked between their legs.;;;;;;;;;x 
EVTDESCPA.10171;You ditch you guards and run towards the hills. Your men are able to stop the bandits from catching up with you, but take heavy casualties in the process. You are safe, but your pride has been damaged.;;;;;;;;;x 
EVTDESCPA.10172;The hot sun beams down upon you as your group makes it way towards Lalish. The nearest town is two days away, but you are nearly out of water. One of your men rides back suddenly and tells you he found an oasis just over the horizon. You could stop for water if you wish, but but it may delay your journey.;;;;;;;;;x 
EVTDESCPA.10173;You are riding towards Lalish when a man suddenly appears in the distance, startling you. Your guards draw their weapons and form a circle around you, ready to defend you if needed. The man calls out to you in a language you cannot understand, then begins to walk towards you, his arms held outwards.;;;;;;;;;x 
EVTDESCPA.10174;You order your guards to drop their weapons so the man may approach. They hesitate at first, but place them on the ground after you throw away your own dagger. The man approaches you and hands you a strange glowing feather. When you look up to ask the man why he has given it to you, he has vanished.;;;;;;;;;x 
EVTDESCPA.10175;Your men spring into action, ready to strike the man down, but he suddenly vanishes. With the threat seemingly gone, your guards fall back towards you, unnerved by what had just happened. With nothing more to see, you decide to move on, but you can't help but think about what just happened.;;;;;;;;;x 
EVTDESCPA.10176;Your carriage comes to a stop suddenly, shunting you awake. When you ask one of your guards what has happened he tells you an injured man has been found just off the side of the road. He will likely die without proper treatment, but you don't have very many supplies to spare right now.;;;;;;;;;x 
EVTDESCPA.10177;The ride has been hard so far, so you decide to take a break in a nearby town. A beggar walks up to you as you walk about the market and asks for a few coins. Charity is good in the eyes of [Root.Religion.GetRandomGodName], but do you really want to be seen talking to a peasant?;;;;;;;;;x 
desert_heat;Desert Heat;;;;;;;;;x 
fresh_water;Fresh Water;;;;;;;;;x 
approach_peacock;You let the man approach you.;;;;;;;;;x 
confront_peacock;You order your men to attack.;;;;;;;;;x 
EVTDESCPA.10178;You left the main road some time ago after a traveller told you of a short cut to Lalish. It seems he was wrong, because your group has become lost in the desert. You could keep on going, but with water supplies running low, it might be a good idea to turn back towards the road.;;;;;;;;;x 
CB_NAME_COUNTY_HOLY_WAR;Holy War for [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_COUNTY_HOLY_WAR;$ORDER$$FIRST_ADJ$ Holy War for $OTHER_TITLE$;;;;;;;;;x 
county_holy_war_desc;§Y$CLAIMANT$§! can use this Casus Belli to size the §Y$TITLE$§! from the infidel §Y$TARGET$§!.;;;;;;;;;x 
CB_NAME_COUNTY_HOLY_WAR_PAGAN;Holy War for [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_COUNTY_HOLY_WAR_PAGAN;$ORDER$$FIRST_ADJ$ Holy War for $OTHER_TITLE$;;;;;;;;;x 
county_holy_war_pagan_desc;§Y$CLAIMANT$§! can use this Casus Belli to size the §Y$TITLE$§! from the infidel §Y$TARGET$§!.;;;;;;;;;x 
EVTNAMEPA.10179;The Magyar Conquest;;;;;;;;;x 
EVTDESCPA.10179;Historically, the Magyars did not migrate to the Carpathian basin until 895, but with Bulgaria busy with the Byzantine Empire and Avar power weakening, it might be a good idea to invade Carpathia. The Bulgarians won't be busy forever, and the Christian powers, especially the Franks, will turn their attention to the Pannonian lands eventually, so why waste a good opportunity? Your army is strong and well prepared, but will only fight if you command it.;;;;;;;;;x 
EVTNAMEPA.10180;Heroes of Olympus;;;;;;;;;x 
EVTDESCPA.10180;Although Hellenism has managed to regain enough of its power to become a true religion once more, its position is still precarious. To protect the faithful and keep the infidels at bay, the Hellenic clergy have sanctioned the creation of a holy order, the Heroes of Olympus. Having sworn an oath to defend Hellenism and the holy mountain, the Heroes are ready to fight for those who need them. A new era of pagan expansion has begun, with the Heroes at the forefront.;;;;;;;;;x 
EVTNAMEPA.10181;Fall of Francia;;;;;;;;;x 
EVTDESCPA.10181;The empire of Charlemagne has fallen. With the loss of so much territory to revolts, independence-minded nobles and foreign powers, it was only a matter of time before Francia toppled and fell. The Pope will need to look for a new protector, as the remnants of the empire fight among themselves for the right to claim the vacant throne. Although Francia may be gone, Charlemagne's memory still lives on, as does his dream of reforging the Roman Empire. Western Europe may see another emperor before too long, Francian or Roman.;;;;;;;;;x 
COMPL_AUGUSTA;Augusta;;;;;;;;;x 
COMPL_AUTOKRATOR;Autokrator;;;;;;;;;x 
COMPL_AUTOKRATEIRA;Autokrateira;;;;;;;;;x 
COMPL_AUTOKRATOR2;Autokrator;;;;;;;;;x 
COMPL_AUTOKRATEIRA2;Autokrateira;;;;;;;;;x 
title_prince_greek;Despot;;;;;;;;;x 
title_prince_female_greek;Despoina;;;;;;;;;x 
title_prince_roman;Princeps;;;;;;;;;x 
title_prince_female_roman;Principissa;;;;;;;;;x 
k_khamag_mongol;Khamag Mongol;;;;;;;;;x 
k_khamag_mongol_adj;Khamag Mongol;;;;;;;;;x 
tp_great_pantheon;Great Pantheon;;;;;;;;;x 
tp_great_pantheon_desc;The Pantheon is a pagan temple which was constructed during the reign of Emperor Augustus. It was converted into a Catholic church in the 7th century but was restored as a temple following the rebirth of the Hellenic faith.;;;;;;;;;x 
tp_temple_of_hecate;Temple of Hecate;;;;;;;;;x 
tp_temple_of_hecate_desc;When Constantinople was still known as Byzantium, it housed a massive temple to the Greek goddess Hecate. Following the rebirth of the Hellenic faith, the now vacant Hagia Sophia was converted in a new temple honouring the goddess.;;;;;;;;;x 
tp_sacred_colossi;Sacred Colossi;;;;;;;;;x 
tp_sacred_colossi_desc;Inspired by stories of the Colossus of Rhodes, the citizens of Antioch constructed two colossi, one male and one female. Intended to honour all of the gods, the features of the colossi are ambigious, allowing the faithful to pray to whoever they wish.;;;;;;;;;x 
tp_temple_of_jupiter;Temple of Jupiter;;;;;;;;;x 
tp_temple_of_jupiter_desc;The Emperor Titus constructed a temple to Jupiter following the reconstruction of Jerusalem as a Roman city. A new temple honouring Jupiter was constructed inside the now vacant Church of the Holy Sepulchre following the rebirth of the Hellenic faith.;;;;;;;;;x 
tp_pharos_lighthouse;Pharos Lighthouse;;;;;;;;;x 
tp_pharos_lighthouse_desc;Originally commissioned by the diadochi Ptomlemy I Soter, the Pharos Lighthouse was completed during the rule of his son, Ptolemy II Philadelphus. Abandoned following the Arab conquest of Egypt, it was resored following the rebirth of the Hellenic faith.;;;;;;;;;x 
tp_house_of_wisdom;House of Wisdom;;;;;;;;;x 
tp_house_of_wisdom_desc;The House of Wisdom is a vast library which was constructed following the foundation of Baghdad as the capital of the Abbasid Caliphate in 762. The archives house one of the largest collections of classical knowledge outside of Constantinople, Alexandria or Rome.;;;;;;;;;x 
tp_house_of_wisdom2;House of Wisdom;;;;;;;;;x 
tp_house_of_wisdom2_desc;The House of Wisdom was eventually rebuilt following the sack of Baghdad by the Mongols. Though much knowledge was lost after the Mongol invasion, the archives house one of the largest collections of classical knowledge outside of Constantinople, Alexandria or Rome.;;;;;;;;;x 
k_macedonia;Macedonia;;;;;;;;;x 
k_macedonia_adj;Macedonian;;;;;;;;;x 
e_macedonia;Hellene Empire;;;;;;;;;x 
e_macedonia_adj;Greek;;;;;;;;;x 
d_companions;Companions;;;;;;;;;x 
diadochi;Diadochi;;;;;;;;;x 
diadochi_desc;This character is the heir to the legacy of Alexander the Great and commands the respect such a position of such magnitude is due.;;;;;;;;;x 
COMPL_DIADOCHI;Diadochi;;;;;;;;;x 
CB_NAME_IMPERIAL2;Imperial Reconquest of [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_IMPERIAL2;$ORDER$$FIRST_ADJ$ Imperial Reconquest of $OTHER_TITLE$;;;;;;;;;x 
imperial_reconquest2_desc;The lost territory of the Macedonian Empire must be reclaimed! §Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!;;;;;;;;;x 
CB_NAME_IMPERIAL3;Imperial Reconquest of [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_IMPERIAL3;$ORDER$$FIRST_ADJ$ Imperial Reconquest of $OTHER_TITLE$;;;;;;;;;x 
imperial_reconquest3_desc;The lost territory of the Persian Empire must be reclaimed! §Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!;;;;;;;;;x 
CB_NAME_SUBJUGATION4;Imperial Subjugation of [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_SUBJUGATION4;$ORDER$$FIRST_ADJ$ Imperial Subjugation of $OTHER_TITLE$;;;;;;;;;x 
imperial_subjugation4_desc;We are the true heirs of the Achaemenids, and our empire should reflect this! $CLAIMANT$§! can use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!;;;;;;;;;x 
EVTDESCPA.10185;You are the current ruler of the glorious Macedonian Empire. May your reign be a prosperous one!;;;;;;;;;x 
EVTDESCPA.10186;You are no longer the ruler of the Macedonian Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;x 
establish_companions;Establish the Companions;;;;;;;;;x 
establish_companions_desc;The companions of ancient Macedonia were heavy cavalry which served as shock troopers and bodyguards. You could attempt to reform them if you wish.;;;;;;;;;x 
title_hegemon;Hegemon;;;;;;;;;x 
title_hegemon_desc;Originally the highest title available to a Macedonian general, Alexander the Great styled himself the title of Hegemon (Leader) to signify his rule over ancient Greece.;;;;;;;;;x 
title_peliganes;Peliganes;;;;;;;;;x 
title_peliganes_desc;In ancient times, a Peliganes (Elder) was a member of the Macedonian Senate. The Senate is long gone, but the title itself still holds immense value in Macedonian society.;;;;;;;;;x 
title_polemarch;Polemarch;;;;;;;;;x 
title_polemarch_desc;A Polemarch (Warlord) was a high-level military commander in the citiy-states of ancient Greece. The title was initially considered much higher than that of Strategos or Archon.;;;;;;;;;x 
title_satrap;Satrap;;;;;;;;;x 
title_satrap_desc;The Persian title of Satrap (Protector) was adopted by Alexander the Great for his generals and governors. The diadochi styled themselves as satraps until the fall of Alexander's empire.;;;;;;;;;x 
EVTNAMEPA.10187;The Tome;;;;;;;;;x 
EVTDESCPA.10187;While searching trough ancient documents to learn more about your ancient predecessors, you were inevitably introduced to their religion, Hellenic paganism. Although you rule Macedonia and claim Alexander the Great's the legacy, both you and your people are Christian monotheists, concepts that never sat well with your pagan ancestors. Enough knowledge of the Hellenic faith remains for you to attempt a revival, but abandoning Christianity may incite your people to revolt. As the rightful [Root.GetTitle], this decision is yours.;;;;;;;;;x 
divine_father;Divine Father;;;;;;;;;x 
divine_mother;Divine Mother;;;;;;;;;x 
EVTDESCPA.10188;Your father was an exceptional man, a true pagan by all accounts. Perhaps you should consider ordering the church to deify him? Doing so would certainly help legitimise your rule, as well as improve your piety.;;;;;;;;;x 
EVTDESCPA.10189;Your mother was an exceptional woman, a true pagan by all accounts. Perhaps you should consider ordering the church to deify her? Doing so would certainly help legitimise your rule, as well as improve your piety.;;;;;;;;;x 
EVTDESCPA.10190;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Heroes of Olympus in their struggle against the infidel, even though this will forever disinherit him.;;;;;;;;;x 
EVTTOOLTIPPA_10191;[This.GetTitledFirstName] becomes a Hero of Olympus.;;;;;;;;;x 
EVTDESCPA.10195;Your Highness, this extremely generous donation will not be forgotten. You have my friendship, as well as that of the Church. Rest assured that you will be rewarded in the afterlife, if not on Earth!\nPax Deorum,\n\nStrategos [From.GetFirstName];;;;;;;;;x 
EVTDESCPA.10199;Most righteous [Root.GetTitledFirstName], the Heroes need more castles in order to defend Hellenism against the Infidel. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPax Deorum,\n\nStrategos [From.GetFirstName];;;;;;;;;x 
EVTDESCPA.10200;The Heroes of Olympus have constructed a castle in [Root.GetName]!;;;;;;;;;x 
EVTDESCPA.10202;Your majesty, this antagonism is completely unwarranted! The Heroes serve the Gods, but, one has to wonder, do you?\n\With anger and sadness,\n\Strategos [From.GetFirstName];;;;;;;;;x 
expel_heroes;Expel the Heroes;;;;;;;;;x 
expel_heroes_desc;I can drive the Heroes from my realm and seize their castles. However, it is a very impious thing to do...;;;;;;;;;x 
donate_money_to_heroes;Donate money to the Heroes;;;;;;;;;x 
donate_money_to_heroes_desc;I can donate money to the Heroes in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.;;;;;;;;;x 
EVTDESCPA.10203;I have been Born in the Purple!;;;;;;;;;x 
EVTDESCPA.10204;A child has been born in the purple room of the Royal Palace, strengthening their claim to the throne.;;;;;;;;;x 
form_hellenic_church;Appoint a Religious Head;;;;;;;;;x 
form_hellenic_church_desc;Appoint a high priest to oversee the administration of the Hellenic Church.;;;;;;;;;x 
EVTDESCPA.10205;You have chosen to centralise the Hellenic Church and appoint a religious head to oversee it, but who should that be? You could keep the title for yourself if you wish, or give it to a vassal priest.;;;;;;;;;x 
EVTDESCPA.10206;A priest has come to you asking for funds to help build a temple in a nearby village. The foundations of the temple are finished, but the construction costs have run several coins over budget. Will you help him?;;;;;;;;;x 
EVTDESCPA.10207;A group of actors from a nearby village is looking to host a production of Homer's Odyssey, but they are sorely lacking in funds. The leader of the group has come to you to ask for a small loan. Will you help him?;;;;;;;;;x 
EVTDESCPA.10208;A group of actors from a nearby village is looking to host a production of Homer's Iliad, but they are sorely lacking in funds. The leader of the group has come to you to ask for a small loan. Will you help him?;;;;;;;;;x 
EVTDESCPA.10209;Your augur has informed you that you will be blessed with good look for the next few years.;;;;;;;;;x 
EVTDESCPA.10210;Your augur has informed you that you will be cursed with bad luck for the next few years.;;;;;;;;;x 
good_augury;Good Augury;;;;;;;;;x 
terrible_augury;Terrible Augury;;;;;;;;;x 
cultist;Cultist;;;;;;;;;x 
cultist_desc;This character is a member of a cult, giving them a bonus to their piety.;;;;;;;;;x 
EVTDESCPA.10211;The leader of the Cult of Antinous has invited you to join his faithful. The boy Antinous was once the favourite of the Emperor Hardian, who had him deified after his tragic death.;;;;;;;;;x 
EVTDESCPA.10212;The leader of the Cult of Sappho has invited you to join her faithful. The poet Sappho was known for her love letters to various women, a few of which survived the fall of the Rome Empire.;;;;;;;;;x 
EVTDESCPA.10213;The leader of the Cult of Mithras has invited you to join his faithful. The god Mithras is known as a great hunter and an unyielding warrior, hence why he was so popular with the Roman army.;;;;;;;;;x 
EVTDESCPA.10214;The leader of the Cult of Bacchus has invited you to join his faithful. The god Bacchus is known for his drunken parties, grand feasts and rousing orgies. You might have just found home.;;;;;;;;;x 
EVTDESCPA.10215;The leader of the Cult of Sol Invictus has invited you to join his faithful. The god Sol is the personification of might, glory and power, as he is reborn every year as the Unconquerable Sun.;;;;;;;;;x 
hellenic_sacrifice;Preform a Sacrifice;;;;;;;;;x 
hellenic_sacrifice_desc;Sacrifice an animal of your choosing to appease the Gods.;;;;;;;;;x 
hellenic_sacrifice_bull;Sacrificed a Bull;;;;;;;;;x 
hellenic_sacrifice_lamb;Sacrificed a Lamb;;;;;;;;;x 
hellenic_sacrifice_nothing;Sacrificed Nothing;;;;;;;;;x 
hellenic_sacrifice_decision;Preformed a Sacrifice;;;;;;;;;x 
EVTDESCPA.10216;The time has come to pick an animal to sacrifice. You could sacrifice a bull if you wish, but they are expensive to buy. You could go down the normal route and sacrifice a lamb, or you could just sacrifice nothing and leave.;;;;;;;;;x 
EVTDESCPA.10217;The bull is sacrificed to the Gods as the crowd which has formed before the temple steps looks on. They begin to cheer as the bull's blood runs down the steps of the temple, secure in the knowledge that the Gods have been properly honoured.;;;;;;;;;x 
EVTDESCPA.10218;The lamb is sacrificed to the Gods as the crowd which has formed before the temple steps looks on. They begin to cheer as the lamb's blood runs down the steps of the temple, secure in the knowledge that the Gods have been properly honoured.;;;;;;;;;x 
EVTDESCPA.10219;You walk out of the temple as the crowd which has formed before its steps looks on in surprise and anger. They begin to shout insults as you as get into your carriage and drive off, with some even calling for outright rebellion against you.;;;;;;;;;x 
EVTDESCPA.10220;With Rome under pagan control once more, you could close down St Peter's Basilica and convert the Pantheon back into a temple.;;;;;;;;;x 
EVTDESCPA.10221;With Rome under Christian control once more, you could reopen St Peter's Basilica and convert the Pantheon back into a church.;;;;;;;;;x 
EVTDESCPA.10222;With Constantinople under pagan control once more, you could close down the Hagia Sophia and rebuild the old Temple of Hecate;;;;;;;;;x 
EVTDESCPA.10223;With Constantinople under Christian control once more, you could reopen the Hagia Sophia and tear down the Temple of Hecate.;;;;;;;;;x 
EVTDESCPA.10224;With Antioch under pagan control once more, you could close down St Peter's Church and build a grand new pagan monument.;;;;;;;;;x 
EVTDESCPA.10225;With Antioch under Christian control once more, you could reopen St Peter's Church and tear down the pagan colossi.;;;;;;;;;x 
EVTDESCPA.10226;With Jerusalem under pagan control once more, you could close down the Church of the Holy Sepulchre and rebuild the old Temple of Jupiter.;;;;;;;;;x 
EVTDESCPA.10227;With Jerusalem under Christian control once more, you could reopen the Church of the Holy Sepulchre and tear down the Temple of Jupiter.;;;;;;;;;x 
EVTDESCPA.10228;With Alexandria under pagan control once more, you could close down St Mark's Cathedral and repair the damaged Pharos Lighthouse.;;;;;;;;;x 
EVTDESCPA.10229;With Alexandria under Christian control once more, you could reopen St Mark's Cathedral and assume control of the Pharos Lighthouse;;;;;;;;;x 
EVTDESCPA.10230;With Alexandria under pagan control once more, you could close down St Mark's Cathedral and assume control of the Pharos Lighthouse.;;;;;;;;;x 
EVTDESCPA.10231;With Alexandria under Christian control once more, you could reopen St Mark's Cathedral and assume control of the Pharos Lighthouse;;;;;;;;;x 
EVTDESCPA.10232;With Rome under pagan control once more, you could close down St Peter's Basilica and convert the Pantheon back into a temple.;;;;;;;;;x 
EVTDESCPA.10233;With Rome under Christian control once more, you could reopen St Peter's Basilica and convert the Pantheon back into a church.;;;;;;;;;x 
EVTDESCPA.10234;With Rome under pagan control once more, you could close down St Peter's Basilica and convert the Pantheon back into a temple.;;;;;;;;;x 
EVTDESCPA.10235;With Rome under Christian control once more, you could reopen St Peter's Basilica and convert the Pantheon back into a church.;;;;;;;;;x 
EVTDESCPA.10236;With Rome under pagan control once more, you could close down St Peter's Basilica and convert the Pantheon back into a temple.;;;;;;;;;x 
EVTDESCPA.10237;With Rome under Christian control once more, you could reopen St Peter's Basilica and convert the Pantheon back into a church.;;;;;;;;;x 
EVTDESCPA.10238;With Rome under our control, we could close the infidel's Pantheon.;;;;;;;;;x 
EVTDESCPA.10239;With Constantinople under our control, we could destroy the the infidel's temple.;;;;;;;;;x 
EVTDESCPA.10240;With Antioch under our control, we could destroy the the infidel's colossi.;;;;;;;;;x 
EVTDESCPA.10241;With Jerusalem under our control, we could destroy the the infidel's temple.;;;;;;;;;x 
EVTDESCPA.10242;With Mecca under our control, we could destroy the the infidel's mosque.;;;;;;;;;x 
EVTDESCPA.10243;With Media under our control, we could destroy the the infidel's mosque.;;;;;;;;;x 
EVTDESCPA.10244;With Paderborn under our control, we could destroy the Irminsul.;;;;;;;;;x 
EVTDESCPA.10245;With Paderborn under our control, we could destroy the Irminsul.;;;;;;;;;x 
EVTDESCPA.10246;With Jerusalem under our control, we could close down the Jewish Temple.;;;;;;;;;x 
EVTDESCPA.10247;With Etchmiadzin under our control, we could destroy the infidel's cathedral.;;;;;;;;;x 
disable_building_events;All dynamic building events will be disabled for the rest of the game.;;;;;;;;;x 
disable_cult_events;All cult events will be disabled for this character.;;;;;;;;;x 
vice_royalty_count;Castellan;;;;;;;;;x 
vice_royalty_duke;Governor;;;;;;;;;x 
vice_royalty_king;Viceroy;;;;;;;;;x 
vice_royalty_count_female;Castellana;;;;;;;;;x 
vice_royalty_duke_female;Governess;;;;;;;;;x 
vice_royalty_king_female;Vicereine;;;;;;;;;x 
vice_royalty_county_of;Castellany of;;;;;;;;;x 
vice_royalty_duchy_of;Governorate of;;;;;;;;;x 
vice_royalty_kingdom_of;Viceroyalty of;;;;;;;;;x 
vassalize_epirus;Vassalize Epirus;;;;;;;;;x 
vassalize_epirus_desc;Offer the ruler of Epirus the once in a lifetime chance to submit to Byzantine control.;;;;;;;;;x 
vassalize_trebizond;Vassalize Trebizond;;;;;;;;;x 
vassalize_trebizond_desc;Offer the ruler of Trebizond the once in a lifetime chance to submit to Byzantine control.;;;;;;;;;x 
EVTNAMEPA.10252;The Bulgar Conquest;;;;;;;;;x 
EVTDESCPA.10252;Historically, the Bulgarians did not conquer Sofia and Naissus until 809, but with the Byzantine Empire busy with the Abbasids and Khazars, it might be a good idea to take the cities. The Byzantines won't be busy forever, and the Slavic tribals, especially the Serbians and their allies, will turn their attention back to the Byzantine Empire eventually, so why waste a good opportunity? Your army is strong and well prepared, but will only fight if you command it.;;;;;;;;;x 
EVTDESCPA.10254;With Etchmiadzin under our control, we could rebuild the holy cathedral.;;;;;;;;;x 
restore_visigothia;Restore the Visigothic Kingdom;;;;;;;;;x 
restore_visigothia_desc;Restore the Visigothic kingdom.;;;;;;;;;x 
k_visigoth;Visigothia;;;;;;;;;x 
k_visigoth_adj;Visigothic;;;;;;;;;x 
k_toledo;Toledo;;;;;;;;;x 
k_toledo_acj;Toledo;;;;;;;;;x 
d_theodoro;Theodoro;;;;;;;;;x 
d_shirvan;Shirvan;;;;;;;;;x 
d_shirvan_adj;Shirvani;;;;;;;;;x 
d_dniepr;Dniepr;;;;;;;;;x 
arian;Arian;;;;;;;;;x 
arian_DESC;Arians follow the teachers of the Berber bishop Arius (256-336), who rejected the Trinity and was later declared a heretic. The head of the Arian faith is the Arian Pope, who traditionally sits in Rome.;;;;;;;;;x 
k_arian;Arian Papacy;;;;;;;;;x 
k_arian_adj;Arian Papal;;;;;;;;;x 
create_arian_papacy;Create the Arian Papacy;;;;;;;;;x 
create_arian_papacy_desc;If I am pious enough and control Rome, I can appoint an Arian Pope to serve as the head of the faith in opposition to the vile Catholic Pope.;;;;;;;;;x 
lombard_arian_conversion;Covert to Arian;;;;;;;;;x 
lombard_arian_conversion_desc;With the Catholic Church in disarray, you could convert to Arianism.;;;;;;;;;x 
gothic_arian_conversion;Covert to Arian;;;;;;;;;x 
gothic_arian_conversion_desc;With the Orthodox Church in disarray, you could convert to Arianism.;;;;;;;;;x 
italian_hellenic_conversion;Covert to Hellenic;;;;;;;;;x 
italian_hellenic_conversion_desc;With the Catholic Church in disarray, you could convert to Hellenism.;;;;;;;;;x 
greek_hellenic_conversion;Covert to Hellenic;;;;;;;;;x 
greek_hellenic_conversion_desc;With the Eastern Church in disarray, you could convert to Hellenism.;;;;;;;;;x 
fraticelli_DESC;The Fraticelli (Little Brethren) is a Catholic heresy that originated in the Fransiscan Order of monks. It is devoted to poverty and asceticism - especially for men of the cloth. Fraticelli heretics are violently opposed to Church wealth and displays of opulence.;;;;;;;;;x 
k_ravenna;Ravenna;;;;;;;;;x 
k_ravenna_adj;Ravennese;;;;;;;;;x 
k_carthage;Carthage;;;;;;;;;x 
k_carthage_adj;Carthaginian;;;;;;;;;x 
k_cordoba;Cordoba;;;;;;;;;x 
k_cordoba_adj;Cordoban;;;;;;;;;x 
k_tangiers;Tangiers;;;;;;;;;x 
k_tangiers_adj;Tangerian;;;;;;;;;x 
d_savaran;Imperial Savaran;;;;;;;;;x 
d_savaran_adj;Savaran;;;;;;;;;x 
d_paladins;Imperial Paladins;;;;;;;;;x 
d_paladins_adj;Paladin;;;;;;;;;x 
d_alexandrian_fleet;Alexandrian Fleet;;;;;;;;;x 
d_syrian_fleet;Syrian Fleet;;;;;;;;;x 
k_macedon;Macedon;;;;;;;;;x 
k_macedon_adj;Macedonian;;;;;;;;;x 
k_thrace;Thrace;;;;;;;;;x 
k_thrace_adj;Thacian;;;;;;;;;x 
d_janissaries;Janissaries;;;;;;;;;x 
d_janissaries_adj;Janissarie;;;;;;;;;x 
reform_syrian_fleet;Reform the Syrian Fleet;;;;;;;;;x 
reform_syrian_fleet_desc;Restore the Syrian Fleet to its former glory.;;;;;;;;;x 
reform_alexandrian_fleet;Reform the Alexandrian Fleet;;;;;;;;;x 
reform_alexandrian_fleet_desc;Restore the Alexandrian Fleet to its former glory.;;;;;;;;;x 
form_imperial_paladins;Form the Imperial Paladins;;;;;;;;;x 
form_imperial_paladins_desc;Our knights have proven their worth in combat, hacking through the enemies ranks with ease. They would make perfect bodyguards for the [Root.GetTitle].;;;;;;;;;x 
reform_savaran;Reform the savaran;;;;;;;;;x 
reform_savaran_desc;The Savaran were originally cataphracts who guarded the imperial palace in Ctesiphon. With the recovery of the Persian Empire, you could reform them if you wish.;;;;;;;;;x 
form_janissaries;Form the Janissaries;;;;;;;;;x 
form_janissaries_desc;The slave soldiers of the Ghilman and Mamluks are famous for their loyalty. With Ottoman power in Anatolia secure, you could form your own bodyguard unit, the Janissaries.;;;;;;;;;x 
form_ottoman_empire;Form the Ottoman Empire;;;;;;;;;x 
form_ottoman_empire_desc;Form the Ottoman Empire.;;;;;;;;;x 
e_ottoman;Ottoman;;;;;;;;;x 
e_ottoman_adj;Ottoman;;;;;;;;;x 
form_francian_empire;Form the Empire of Francia;;;;;;;;;x 
form_francian_empire_desc;Form the Empire of Francia.;;;;;;;;;x 
job_spiritual_yazidi;Court Kochek;;;;;;;;;x 
EVTNAMEPA.10258;The Offer;;;;;;;;;x 
